method,attack_rate,acc_mean,acc_std
Static TTE (mean),0,64.14,3.62
Static TTE (mean),5,63.33,3.85
Static TTE (mean),10,62.5,3.93
Static TTE (mean),15,61.62,3.96
Static TTE (mean),20,60.9,3.89
Static TTE (mean),25,60.17,3.81
Static TTE (mean),30,59.59,3.8
Static TTE (mean),35,58.81,3.83
Static TTE (mean),40,58.12,3.56
Static TTE (mean),45,57.37,3.43
Static TTE (mean),50,56.75,3.29
Static TTE (mean),55,56.23,3.31
Static TTE (mean),60,55.45,3.52
Static TTE (mean),65,54.77,3.53
Static TTE (mean),70,53.94,3.62
Static TTE (mean),75,53.22,3.77
Static TTE (mean),80,52.52,3.65
Static TTE (mean),85,51.69,3.78
Static TTE (mean),90,51.11,3.91
Static TTE (mean),95,50.33,3.95
Static TTE (mean),100,49.58,3.68
Tent,0,83.72,0.35
Tent,5,79.52,0.71
Tent,10,75.94,1.0
Tent,15,71.84,0.62
Tent,20,68.03,0.76
Tent,25,64.27,0.58
Tent,30,60.43,0.73
Tent,35,56.51,0.93
Tent,40,52.51,1.84
Tent,45,48.84,1.33
Tent,50,44.78,1.23
Tent,55,41.08,0.86
Tent,60,36.91,1.27
Tent,65,32.85,1.04
Tent,70,28.91,1.81
Tent,75,24.98,2.21
Tent,80,21.34,2.27
Tent,85,17.19,2.23
Tent,90,13.4,2.39
Tent,95,9.26,2.32
Tent,100,4.98,1.89
Tent + SAFER,0,80.19,0.78
Tent + SAFER,5,78.78,1.12
Tent + SAFER,10,77.67,0.76
Tent + SAFER,15,76.58,0.75
Tent + SAFER,20,76.11,0.95
Tent + SAFER,25,75.75,0.49
Tent + SAFER,30,75.28,0.74
Tent + SAFER,35,75.15,0.63
Tent + SAFER,40,74.89,0.75
Tent + SAFER,45,74.69,0.61
Tent + SAFER,50,74.5,0.56
Tent + SAFER,55,74.46,0.53
Tent + SAFER,60,74.33,0.44
Tent + SAFER,65,74.14,0.61
Tent + SAFER,70,73.99,0.65
Tent + SAFER,75,73.99,0.61
Tent + SAFER,80,73.81,0.41
Tent + SAFER,85,73.63,0.55
Tent + SAFER,90,73.5,0.47
Tent + SAFER,95,73.23,0.67
Tent + SAFER,100,73.1,0.68
Tent + SAFER-A,0,83.54,0.35
Tent + SAFER-A,5,81.53,0.49
Tent + SAFER-A,10,80.0,0.73
Tent + SAFER-A,15,78.29,0.23
Tent + SAFER-A,20,76.81,0.61
Tent + SAFER-A,25,74.89,0.54
Tent + SAFER-A,30,73.58,0.2
Tent + SAFER-A,35,72.17,0.1
Tent + SAFER-A,40,70.39,0.42
Tent + SAFER-A,45,68.68,0.23
Tent + SAFER-A,50,66.81,0.1
Tent + SAFER-A,55,65.17,0.57
Tent + SAFER-A,60,63.4,0.2
Tent + SAFER-A,65,61.7,0.23
Tent + SAFER-A,70,60.06,0.38
Tent + SAFER-A,75,58.33,0.35
Tent + SAFER-A,80,56.49,0.48
Tent + SAFER-A,85,54.79,0.3
Tent + SAFER-A,90,53.66,0.27
Tent + SAFER-A,95,51.6,0.31
Tent + SAFER-A,100,49.87,0.17
