label,metric,step,value,rolling_value
Tent (0%),batch_acc,0,73.4375,73.4375
Tent (0%),batch_acc,1,78.125,75.78125
Tent (0%),batch_acc,2,81.25,77.60416666666667
Tent (0%),batch_acc,3,85.9375,79.6875
Tent (0%),batch_acc,4,85.9375,80.9375
Tent (0%),batch_acc,5,87.5,82.03125
Tent (0%),batch_acc,6,82.8125,82.14285714285714
Tent (0%),batch_acc,7,84.375,82.421875
Tent (0%),batch_acc,8,81.25,82.29166666666667
Tent (0%),batch_acc,9,81.25,82.1875
Tent (0%),batch_acc,10,78.125,81.81818181818181
Tent (0%),batch_acc,11,76.5625,81.38020833333333
Tent (0%),batch_acc,12,82.8125,81.49038461538461
Tent (0%),batch_acc,13,87.5,81.91964285714286
Tent (0%),batch_acc,14,81.25,81.875
Tent (0%),batch_acc,15,87.5,82.2265625
Tent (0%),batch_acc,16,85.9375,82.44485294117646
Tent (0%),batch_acc,17,84.375,82.55208333333333
Tent (0%),batch_acc,18,93.75,83.14144736842105
Tent (0%),batch_acc,19,82.8125,83.125
Tent (0%),batch_acc,20,82.8125,83.11011904761905
Tent (0%),batch_acc,21,90.625,83.45170454545455
Tent (0%),batch_acc,22,87.5,83.62771739130434
Tent (0%),batch_acc,23,79.6875,83.46354166666667
Tent (0%),batch_acc,24,78.125,83.25
Tent (0%),batch_acc,25,85.9375,83.75
Tent (0%),batch_acc,26,81.25,83.875
Tent (0%),batch_acc,27,84.375,84.0
Tent (0%),batch_acc,28,76.5625,83.625
Tent (0%),batch_acc,29,92.1875,83.875
Tent (0%),batch_acc,30,92.1875,84.0625
Tent (0%),batch_acc,31,79.6875,83.9375
Tent (0%),batch_acc,32,90.625,84.1875
Tent (0%),batch_acc,33,82.8125,84.25
Tent (0%),batch_acc,34,89.0625,84.5625
Tent (0%),batch_acc,35,93.75,85.1875
Tent (0%),batch_acc,36,78.125,85.25
Tent (0%),batch_acc,37,76.5625,85.0
Tent (0%),batch_acc,38,79.6875,84.6875
Tent (0%),batch_acc,39,85.9375,84.875
Tent (0%),batch_acc,40,84.375,84.75
Tent (0%),batch_acc,41,75.0,84.3125
Tent (0%),batch_acc,42,84.375,84.3125
Tent (0%),batch_acc,43,81.25,83.8125
Tent (0%),batch_acc,44,84.375,83.875
Tent (0%),batch_acc,45,82.8125,83.875
Tent (0%),batch_acc,46,90.625,83.875
Tent (0%),batch_acc,47,76.5625,83.4375
Tent (0%),batch_acc,48,92.1875,83.9375
Tent (0%),batch_acc,49,87.5,84.3125
Tent (0%),batch_acc,50,82.8125,84.1875
Tent (0%),batch_acc,51,78.125,84.0625
Tent (0%),batch_acc,52,81.25,83.9375
Tent (0%),batch_acc,53,82.8125,84.1875
Tent (0%),batch_acc,54,79.6875,83.6875
Tent (0%),batch_acc,55,71.875,82.875
Tent (0%),batch_acc,56,84.375,83.0625
Tent (0%),batch_acc,57,85.9375,82.875
Tent (0%),batch_acc,58,84.375,82.9375
Tent (0%),batch_acc,59,84.375,82.75
Tent (0%),batch_acc,60,81.25,82.25
Tent (0%),batch_acc,61,87.5,82.625
Tent (0%),batch_acc,62,87.5,83.0625
Tent (0%),batch_acc,63,84.375,83.25
Tent (0%),batch_acc,64,87.5,83.3125
Tent (0%),batch_acc,65,85.9375,83.375
Tent (0%),batch_acc,66,82.8125,83.6875
Tent (0%),batch_acc,67,81.25,83.5625
Tent (0%),batch_acc,68,82.8125,83.625
Tent (0%),batch_acc,69,84.375,83.625
Tent (0%),batch_acc,70,78.125,83.4375
Tent (0%),batch_acc,71,84.375,83.1875
Tent (0%),batch_acc,72,82.8125,83.4375
Tent (0%),batch_acc,73,85.9375,83.1875
Tent (0%),batch_acc,74,85.9375,83.125
Tent (0%),batch_acc,75,85.9375,83.25
Tent (0%),batch_acc,76,78.125,83.25
Tent (0%),batch_acc,77,76.5625,83.0625
Tent (0%),batch_acc,78,85.9375,83.1875
Tent (0%),batch_acc,79,82.8125,83.3125
Tent (0%),batch_acc,80,84.375,83.8125
Tent (0%),batch_acc,81,82.8125,83.75
Tent (0%),batch_acc,82,85.9375,83.75
Tent (0%),batch_acc,83,89.0625,83.9375
Tent (0%),batch_acc,84,87.5,84.0625
Tent (0%),batch_acc,85,85.9375,84.25
Tent (0%),batch_acc,86,84.375,84.125
Tent (0%),batch_acc,87,78.125,83.75
Tent (0%),batch_acc,88,85.9375,83.8125
Tent (0%),batch_acc,89,87.5,83.8125
Tent (0%),batch_acc,90,85.9375,83.8125
Tent (0%),batch_acc,91,84.375,83.875
Tent (0%),batch_acc,92,92.1875,84.3125
Tent (0%),batch_acc,93,85.9375,84.4375
Tent (0%),batch_acc,94,79.6875,84.25
Tent (0%),batch_acc,95,81.25,84.375
Tent (100%),batch_acc,0,59.375,59.375
Tent (100%),batch_acc,1,62.5,60.9375
Tent (100%),batch_acc,2,50.0,57.291666666666664
Tent (100%),batch_acc,3,71.875,60.9375
Tent (100%),batch_acc,4,57.8125,60.3125
Tent (100%),batch_acc,5,68.75,61.71875
Tent (100%),batch_acc,6,70.3125,62.94642857142857
Tent (100%),batch_acc,7,73.4375,64.2578125
Tent (100%),batch_acc,8,57.8125,63.541666666666664
Tent (100%),batch_acc,9,57.8125,62.96875
Tent (100%),batch_acc,10,57.8125,62.5
Tent (100%),batch_acc,11,60.9375,62.369791666666664
Tent (100%),batch_acc,12,60.9375,62.25961538461539
Tent (100%),batch_acc,13,70.3125,62.83482142857143
Tent (100%),batch_acc,14,64.0625,62.916666666666664
Tent (100%),batch_acc,15,59.375,62.6953125
Tent (100%),batch_acc,16,67.1875,62.95955882352941
Tent (100%),batch_acc,17,59.375,62.760416666666664
Tent (100%),batch_acc,18,75.0,63.4046052631579
Tent (100%),batch_acc,19,68.75,63.671875
Tent (100%),batch_acc,20,62.5,63.61607142857143
Tent (100%),batch_acc,21,65.625,63.70738636363637
Tent (100%),batch_acc,22,65.625,63.79076086956522
Tent (100%),batch_acc,23,56.25,63.4765625
Tent (100%),batch_acc,24,54.6875,63.125
Tent (100%),batch_acc,25,65.625,63.375
Tent (100%),batch_acc,26,57.8125,63.1875
Tent (100%),batch_acc,27,60.9375,63.625
Tent (100%),batch_acc,28,57.8125,63.0625
Tent (100%),batch_acc,29,56.25,63.0
Tent (100%),batch_acc,30,65.625,62.875
Tent (100%),batch_acc,31,56.25,62.3125
Tent (100%),batch_acc,32,67.1875,62.0625
Tent (100%),batch_acc,33,64.0625,62.3125
Tent (100%),batch_acc,34,65.625,62.625
Tent (100%),batch_acc,35,70.3125,63.125
Tent (100%),batch_acc,36,53.125,62.8125
Tent (100%),batch_acc,37,53.125,62.5
Tent (100%),batch_acc,38,56.25,61.9375
Tent (100%),batch_acc,39,50.0,61.375
Tent (100%),batch_acc,40,64.0625,61.5625
Tent (100%),batch_acc,41,54.6875,61.0625
Tent (100%),batch_acc,42,64.0625,61.25
Tent (100%),batch_acc,43,54.6875,60.4375
Tent (100%),batch_acc,44,65.625,60.3125
Tent (100%),batch_acc,45,67.1875,60.5
Tent (100%),batch_acc,46,76.5625,60.9375
Tent (100%),batch_acc,47,57.8125,60.625
Tent (100%),batch_acc,48,67.1875,61.0625
Tent (100%),batch_acc,49,65.625,61.5
Tent (100%),batch_acc,50,65.625,61.5
Tent (100%),batch_acc,51,60.9375,61.625
Tent (100%),batch_acc,52,60.9375,61.625
Tent (100%),batch_acc,53,62.5,61.8125
Tent (100%),batch_acc,54,59.375,61.9375
Tent (100%),batch_acc,55,54.6875,61.5
Tent (100%),batch_acc,56,68.75,62.0
Tent (100%),batch_acc,57,67.1875,62.0
Tent (100%),batch_acc,58,60.9375,61.875
