run_id	run_name	state	s_alpha_conf_threshold	s_alpha_attack_value	s_alpha_clean_value	s_alpha_attack_high_conf	acc_0	acc_100
e5sn4d54	SAFER	finished	0.8	0	0.5	1	56.12	48.86
ycb9gunu	SAFER	finished	0.8	0	0.75	1	55.07	43.61
8x2zrjps	SAFER	finished	0.8	0	1	1	53.97	41.59
jbeozwhe	SAFER	finished	0.8	0.25	0.5	1	60.89	43.89
23fdsih2	SAFER	finished	0.8	0.25	0.75	1	59.95	38.69
9v3icbfg	SAFER	finished	0.8	0.25	1	1	58.91	36.59
ysvkn5qy	SAFER	finished	0.8	0.5	0.5	1	63.7	31.57
4betwtc3	SAFER	finished	0.8	0.5	0.75	1	62.75	26.4
i06ifbjg	SAFER	finished	0.8	0.5	1	1	61.64	24.2
egwur1c2	SAFER	finished	0.9	0	0.5	1	56.83	46.43
4xwnpk5l	SAFER	finished	0.9	0	0.75	1	55.68	40.04
xfxeql0y	SAFER	finished	0.9	0	1	1	54.47	37.98
2olwxba0	SAFER	finished	0.9	0.25	0.5	1	61	41.94
zi7eomlf	SAFER	finished	0.9	0.25	0.75	1	59.95	35.66
rqtppfet	SAFER	finished	0.9	0.25	1	1	58.79	33.53
t4clvsue	SAFER	finished	0.9	0.5	0.5	1	63.7	31.57
wj6s2ee9	SAFER	finished	0.9	0.5	0.75	1	62.65	25.34
u1yobn9y	SAFER	finished	0.9	0.5	1	1	61.44	23.04
l9qkbixa	SAFER	finished	0.99	0	0.5	1	59.21	40.12
rwrypxik	SAFER	finished	0.99	0	0.75	1	58.05	33.22
ia62fz35	SAFER	finished	0.99	0	1	1	56.66	31.07
fy76ko0c	SAFER	finished	0.99	0.25	0.5	1	61.93	37.33
wuagvjbo	SAFER	finished	0.99	0.25	0.75	1	60.74	30.42
9zxo70m4	SAFER	finished	0.99	0.25	1	1	59.42	28.27
gb04dahv	SAFER	finished	0.99	0.5	0.5	1	63.7	31.57
zunfq80s	SAFER	finished	0.99	0.5	0.75	1	62.57	24.69
vtdo1ncx	SAFER	finished	0.99	0.5	1	1	61.34	22.35
